,P20 - Mesh Element Size,P21 - CollarFaceSizing Element Size,P22 - FinWallsFaceSizing Element Size,P23 - FinEdgesSizing Element Size,P24 - t_in,P25 - u_in,P26 - t_collarwalls,P44 - FinCollarFaceSizing Element Size,P60 - Do,P61 - Pt_Do,P62 - Pl_Do,P63 - FPI,P64 - tf,P65 - nRows,P66 - dmin,P67 - Stheta,P68 - SLmax,P69 - SWmin,P70 - Wflat,P71 - Soffsetmax,P72 - Sliftmax,P73 - SZgap
0,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,1.61119279819955,360.0,7.51e-05,13.138378344586148,2.999099774943736,1.9323330832708177,19.22430607651913,0.1524,1.8862215553888473,2.0,19.58289572393098,12.7,1.52,1.52,0.64,1.27,0.05
1,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,4.1342910727681925,360.0,7.51e-05,4.320017504376094,1.9005251312828206,1.9062265566391599,6.2700675168792195,0.1524,1.5131282820705176,2.0,22.565641410352587,12.7,1.52,1.52,0.64,1.27,0.05
2,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,3.5895723930982744,360.0,7.51e-05,6.89888097024256,2.7722430607651916,2.5675918979744936,21.897974493623405,0.1524,1.3375843960990248,2.0,1.3683420855213804,12.7,1.52,1.52,0.64,1.27,0.05
3,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,4.349279819954989,360.0,7.51e-05,7.884064766191548,2.2933233308327083,1.9320330082520631,6.355588897224306,0.1524,1.8982245561390347,2.0,15.15378844711178,12.7,1.52,1.52,0.64,1.27,0.05
4,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,3.413233308327082,360.0,7.51e-05,14.609714928732183,2.739834958739685,2.9051762940735184,18.801200300075017,0.1524,2.719929982495624,2.0,22.817704426106527,12.7,1.52,1.52,0.64,1.27,0.05
5,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,3.9591597899474866,360.0,7.51e-05,9.065641410352587,1.989047261815454,2.246511627906977,12.95873968492123,0.1524,2.356339084771193,2.0,8.90622655663916,12.7,1.52,1.52,0.64,1.27,0.05
6,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,0.33575393848462115,360.0,7.51e-05,12.871155288822205,2.9471867966991745,2.5186796699174794,23.090772693173292,0.1524,2.6884221055263815,2.0,5.959489872468117,12.7,1.52,1.52,0.64,1.27,0.05
7,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,3.765911477869467,360.0,7.51e-05,6.219554888722181,2.1345836459114778,2.6300075018754687,7.449362340585147,0.1524,2.9484871217804454,2.0,14.06151537884471,12.7,1.52,1.52,0.64,1.27,0.05
8,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,1.0048762190547635,360.0,7.51e-05,7.298105776444111,2.458364591147787,2.380345086271568,10.798199549887471,0.1524,1.7346836709177293,2.0,20.1470367591898,12.7,1.52,1.52,0.64,1.27,0.05
9,0.000390664,9.77e-05,9.77e-05,4.88e-05,300.0,4.437449362340585,360.0,7.51e-05,13.218867216804203,2.5600900225056265,2.7836459114778696,9.209302325581396,0.1524,1.5021255313828457,2.0,6.025506376594148,12.7,1.52,1.52,0.64,1.27,0.05
